playlist_name,happiness,angst,energy,indie,sexy
"Go go go",4,3,5,1,2
"Tap In",4,4,5,1,4
"Afrobeats",5,1,3,3,2
"I'm OTW",4,2,4,1,3
"HYPE LATINOOO",4,1,5,2,3
"Calm Afrobeats",4,1,2,3,2
"Chill (with some groove)",4,2,3,3,2
"Little Celebration",5,1,3,3,1
"Symphony/Orchestral",3,2,3,3,1
"Lyrical Rap",2,2,3,2,2
"Mom's playlist",5,1,3,3,1
"All Day Long",4,3,3,2,1
"Classics",5,1,3,1,3
"night beats",3,1,1,3,3
"peaceful walk",4,1,2,3,1
"Girls Night Out",5,3,3,2,4
"No Idea",5,3,3,3,1
"feelin' good",5,1,3,2,1
"Camillo y Cazzu",3,2,3,4,1
"late night drives",3,3,2,1,4
"Henny Talk",3,4,3,3,5
"Flow",3,5,3,5,1
"Afrohouse",4,1,5,3,2
"Vibey",5,1,4,3,1
"Beele, Boza, y Mas",5,1,3,3,2
"Rhythmmmm",5,2,5,2,4
"let's dance to this",4,2,4,2,2
"Bay Area Rap",3,4,5,2,2
"Queendom",4,2,4,1,3
"baddies only",3,3,3,3,4
"yes, that.",4,1,3,2,1
"c'mon!",5,1,4,2,1
"Hypeee + Partyyy",5,2,5,1,3
"UK Rap",4,2,4,2,2
"Summer Reggae",5,1,3,2,2
"Music to Think To",3,2,2,2,1
"en Espanol",4,1,4,2,3
"Mvmt #...",3,2,3,3,1
"Summer Latin Pop",5,1,4,2,3
"Kpop Favorites",4,2,4,2,3
